"created_at","screen_name","text"
2020-04-29 19:36:00,"JoeBiden","Wear a mask in public.
Read your daily briefings.
Listen to the experts.

This really isn't rocket science. It's common sense."
2020-02-29 16:05:00,"JoeBiden","Today, South Carolina has the chance to set our nation on a new path. Let’s go.

https://t.co/NqNhRCMWJ3 https://t.co/ITwOCUhlMU"
2020-02-29 14:15:00,"JoeBiden","Today’s the day, South Carolina! Confirm your polling location at https://t.co/NqNhRCMWJ3, grab your photo ID, and make sure to get out and vote before 7 PM ET. https://t.co/ouFNaOIOu8"
2020-02-29 01:01:00,"JoeBiden","For too many people across the country, normal has become a living nightmare. We can’t go on like this any longer. We have to end our gun violence epidemic. https://t.co/kyZlysST0a"
2020-02-29 00:36:03,"JoeBiden",".@JoeBiden knows that rebuilding &amp; investing in our federal agencies must be a top priority.

Whether it's getting social security checks out on time or ensuring our veterans get the best possible care—all Americans, regardless of political affiliation, rely on federal workers. https://t.co/hf9fTnuf1v https://t.co/CGFaeEX4qj"
2020-02-29 00:33:09,"JoeBiden","""I don't want to say this like I'm endorsing one candidate over another, but there's a level of familiarity with Joe Biden. And that's important."" --@DerrickNAACP on Biden's standing with African-American voters https://t.co/wzzyXPKR47"
2020-02-29 00:30:00,"JoeBiden","We are in a battle for the soul of this nation. Donald Trump’s poisonous rhetoric has emboldened the worst among us to crawl out from under their rocks and spread their hate openly.

We have to get Trump out of the White House and give hate no safe harbor."
2020-02-28 23:08:00,"JoeBiden","Folks, a win in South Carolina would help us build momentum at just the right time. We're feeling good about our chances, but we need your help to pull it off. Please chip in what you can — every dollar makes a big difference: https://t.co/s1BfEAawq6"
2020-02-28 21:55:00,"JoeBiden","Monica's story is the story of far too many in our country — and a solemn reminder of the cost of our inaction. No parent should lose their child to an act of gun violence. We have to end this epidemic. https://t.co/MBQ5iPQoHE"
2020-02-28 21:19:02,"JoeBiden","Wrong Veep https://t.co/ojmgKUA6XE"
2020-02-28 21:02:00,"JoeBiden","America was founded on the promise of equality, liberty, and justice for all. We’ve never fully lived up to that promise — but we’ve never stopped trying. We can’t rest until we reach our highest ideals and justice truly rings out for all."
2020-02-28 20:29:00,"JoeBiden","Tomorrow is the South Carolina primary, and we need your help to bring us across the finish line. If you have a few extra minutes, head to https://t.co/3eifqewid5 to talk with folks before they head to the polls."
2020-02-28 18:34:00,"JoeBiden","My dad always said, “Champ, when you get knocked down, you get back up.” I’ve been knocked down a lot in my life, like so many Americans have, but always get back up. That’s the resiliency of the American people. Given half a fighting chance, there’s nothing we can’t do. https://t.co/e9nR5Rqn8u"
2020-02-28 16:30:00,"JoeBiden","Senator Kaine is an incredible public servant. Virginians are lucky to have him representing them in the Senate — and I'm honored to have his endorsement. https://t.co/3h81B1yhsy"
2020-02-28 15:05:00,"JoeBiden","We are in a battle for the soul of this nation — and Donald Trump is poison to our soul. We have to get him out of the White House. https://t.co/CvICTGZUJe"
2020-02-28 02:05:00,"JoeBiden","I’m running for president to offer our country a different path — not back to a past that never was — but to a future that fulfills our true promise as a nation."
2020-02-28 01:15:00,"JoeBiden","Barack Obama was one hell of a president. https://t.co/Q7YacziNzh"
2020-02-28 00:40:00,"JoeBiden","""Thanks to a man of great position and character taking an interest in him, he knows that his stutter does not define him, nor his plans for a bright future.""

You raised an incredible young man, Elisa. I'm honored to have been a part of his journey. https://t.co/lhi4T190do"
2020-02-27 23:50:00,"JoeBiden","Donald Trump is determined to sabotage Obamacare and roll back the progress we’ve made. We can’t let him get away with it. We have to protect and build on the law to ensure every American has access to the health care they deserve. https://t.co/TxlvXDVjRs"
2020-02-27 22:32:00,"JoeBiden","I have a message for the @NRA and gun manufacturers: If I am elected president, I am going to take you on and I will defeat you. https://t.co/flrQQme05e"
2020-02-27 22:11:02,"JoeBiden","With nearly 2 million Dominicans and their families in the U.S., we have so much to celebrate on Dominican Republic Independence Day! The everyday contributions of Dominican Americans to our country has enriched our lives and made us stronger."
