"created_at","screen_name","text"
2020-04-29 17:55:00,"JoeBiden","Throughout our history, we have emerged from every crisis stronger than before — and we will again."
2020-04-29 16:05:00,"JoeBiden","We owe a profound debt of gratitude to the health care workers on the front lines of this fight. I checked in with Monica, an ICU Nurse, to talk about how she's getting through this and to thank her for all she's doing: https://t.co/PLuEZWO5aQ"
2020-04-29 13:45:00,"JoeBiden","I couldn't agree with @HillaryClinton more. We need a president who will listen to the science, bring us together, and lead with compassion and heart. If I have the honor of being elected, that's the exact kind of president I will be. https://t.co/g7z1C8SH7e"
2020-04-29 00:45:30,"JoeBiden","There are nearly 330 million people in the United States — and according to the Trump White House, we've only conducted 5.4 million COVID-19 tests. It's abysmal.

Donald Trump needs to scale up testing, and he needs to do it immediately."
2020-04-29 00:00:00,"JoeBiden","Let me be very clear: No one is expendable.

We shouldn’t allow rationing of health care that discriminates based on age or disability."
2020-04-28 21:50:30,"JoeBiden","The fact is there has been so much unnecessary death in this country. If we had listened to the experts and heeded their warnings, it could have been stopped short. But Donald Trump failed to act — and now the American people are paying the price. https://t.co/oXeANYvD7T"
2020-04-28 20:34:00,"JoeBiden","I’ve known @HillaryClinton for years, and know that her dedication and passion for bettering our country are second to none. I’m grateful for her endorsement and for her friendship — and look forward to working alongside her to get Donald Trump out of the White House. https://t.co/rv3BuW2BUx"
2020-04-28 19:05:21,"JoeBiden","COVID-19 is affecting the entire nation, but the impact doesn’t look the same for everyone. I'm hosting a town hall on how COVID-19 is impacting women — and I'll be joined by special guest Hillary Clinton. Tune in now to watch: https://t.co/sQBaHGHgRQ"
2020-04-28 17:14:37,"JoeBiden","If you're excited too, join us at 3 PM ET: https://t.co/xk0GcSpr50"
2020-04-28 17:13:56,"JoeBiden","(I'm with her.) https://t.co/jLPeaGv5Mo"
2020-04-28 16:38:00,"JoeBiden","We're months into this crisis and workers still don't have enough protective equipment, there still aren't enough tests, and the death toll continues to rise.

The President should spend less time congratulating himself and more time doing his job. https://t.co/lVJAcHySwH"
2020-04-28 14:25:00,"JoeBiden","We are months into this crisis, and health care workers still don’t have the protective equipment they need. It’s a national disgrace. https://t.co/WnSdlPfJYR"
