"created_at","name","tokens","end_at"
2020-04-30 01:30:00,"JoeBiden","In the middle of a global pandemic, the Trump Administration is still working to gut the Affordable Care Act and rip health care away from millions. It's morally reprehensible.

They need to drop the lawsuit immediately. https://t.co/yc6azeqLVs",2020-04-30 01:30:01
2020-04-30 00:45:00,"JoeBiden","With rent due in a few days and folks across the country worried they won't be able to make their payments, it's clear more needs to be done to provide relief. We need to freeze rent immediately for people who have lost their jobs and place a temporary ban on evictions.",2020-04-30 00:45:01
2020-04-29 23:59:00,"JoeBiden","The words of a president matter — and Donald Trump has used his to downplay COVID-19, pass blame onto others, and mislead the American people. I will do the opposite. https://t.co/6ZViv3tdW7",2020-04-29 23:59:01
2020-04-29 23:16:00,"JoeBiden","The Trump Admin failed to provide enough testing, PPE, and safety enforcement. Workers have gotten sick, plants have closed, and the meat supply is at risk. It's past time workers have the protections they need to stay healthy and do their job safely. https://t.co/tD0Rc7P4mJ",2020-04-29 23:16:01
2020-04-29 21:25:00,"JoeBiden","""I wish he were president right now, but I can't wait until he is if all of us do our part to support the kind of person that we want back in the White House."" — @HillaryClinton

Join us: https://t.co/gnaFCACYrW https://t.co/xyy85Q0R6e",2020-04-29 21:25:01
2020-04-29 19:36:00,"JoeBiden","Wear a mask in public.
Read your daily briefings.
Listen to the experts.

This really isn't rocket science. It's common sense.",2020-04-29 19:36:01
2020-04-29 17:55:00,"JoeBiden","Throughout our history, we have emerged from every crisis stronger than before — and we will again.",2020-04-29 17:55:01
2020-04-29 16:05:00,"JoeBiden","We owe a profound debt of gratitude to the health care workers on the front lines of this fight. I checked in with Monica, an ICU Nurse, to talk about how she's getting through this and to thank her for all she's doing: https://t.co/PLuEZWO5aQ",2020-04-29 16:05:01
2020-04-29 13:45:00,"JoeBiden","I couldn't agree with @HillaryClinton more. We need a president who will listen to the science, bring us together, and lead with compassion and heart. If I have the honor of being elected, that's the exact kind of president I will be. https://t.co/g7z1C8SH7e",2020-04-29 13:45:01
2020-04-29 00:45:30,"JoeBiden","There are nearly 330 million people in the United States — and according to the Trump White House, we've only conducted 5.4 million COVID-19 tests. It's abysmal.

Donald Trump needs to scale up testing, and he needs to do it immediately.",2020-04-29 00:45:31
2020-04-29 00:00:00,"JoeBiden","Let me be very clear: No one is expendable.

We shouldn’t allow rationing of health care that discriminates based on age or disability.",2020-04-29 00:00:01
2020-04-28 21:50:30,"JoeBiden","The fact is there has been so much unnecessary death in this country. If we had listened to the experts and heeded their warnings, it could have been stopped short. But Donald Trump failed to act — and now the American people are paying the price. https://t.co/oXeANYvD7T",2020-04-28 21:50:31
2020-04-28 20:34:00,"JoeBiden","I’ve known @HillaryClinton for years, and know that her dedication and passion for bettering our country are second to none. I’m grateful for her endorsement and for her friendship — and look forward to working alongside her to get Donald Trump out of the White House. https://t.co/rv3BuW2BUx",2020-04-28 20:34:01
2020-04-28 19:05:21,"JoeBiden","COVID-19 is affecting the entire nation, but the impact doesn’t look the same for everyone. I'm hosting a town hall on how COVID-19 is impacting women — and I'll be joined by special guest Hillary Clinton. Tune in now to watch: https://t.co/sQBaHGHgRQ",2020-04-28 19:05:22
2020-04-28 17:14:37,"JoeBiden","If you're excited too, join us at 3 PM ET: https://t.co/xk0GcSpr50",2020-04-28 17:14:38
2020-04-28 17:13:56,"JoeBiden","(I'm with her.) https://t.co/jLPeaGv5Mo",2020-04-28 17:13:57
2020-04-28 16:38:00,"JoeBiden","We're months into this crisis and workers still don't have enough protective equipment, there still aren't enough tests, and the death toll continues to rise.

The President should spend less time congratulating himself and more time doing his job. https://t.co/lVJAcHySwH",2020-04-28 16:38:01
2020-04-28 14:25:00,"JoeBiden","We are months into this crisis, and health care workers still don’t have the protective equipment they need. It’s a national disgrace. https://t.co/WnSdlPfJYR",2020-04-28 14:25:01
2020-04-28 01:10:00,"JoeBiden","Tomorrow afternoon, I'll be hosting a town hall on how COVID-19 is impacting women — and I'll be joined by a special guest. Tune in at 3 PM ET to watch: https://t.co/xk0GcSpr50 https://t.co/nw44aea7UP",2020-04-28 01:10:01
2020-04-28 00:05:07,"JoeBiden","The Trump Administration could have helped prevent this. But once again, they failed to take action — and now the American people are paying the price. https://t.co/OzNIJpxn2k",2020-04-28 00:05:08
2020-04-27 22:30:00,"JoeBiden","Testing is the springboard we need to help get our economy safely up and running again. Trump could rapidly scale it up. He hasn’t. Instead, he’s passed blame and pushed sole responsibility to governors.

We've got to do better. https://t.co/qtjjC5shEJ",2020-04-27 22:30:01
2020-04-27 20:51:58,"JoeBiden","COVID-19 is a danger to everyone. We will stop it by coming together as one America — not by targeting others.

Thank you for helping lead this fight, @AndrewYang. https://t.co/2rFQ9mKkjm",2020-04-27 20:51:59
2020-04-27 19:38:25,"JoeBiden","Join Senator Kamala Harris and Symone Sanders for a town hall addressing the impact and disparities of COVID-19 in the Black community. Tune in now: https://t.co/coThZJGoej",2020-04-27 19:38:26
2020-04-27 16:15:00,"JoeBiden","COVID-19 can hit anyone, anywhere — but it doesn’t affect every community equally. This afternoon, join Senator @KamalaHarris and @SymoneDSanders for a discussion on its disproportionate impact on communities of color.

Tune in at 3:30 PM ET: https://t.co/xk0GcSpr50 https://t.co/lzco7XHP53",2020-04-27 16:15:01
2020-04-27 14:42:00,"JoeBiden","We want our country to get moving and healthy again. But we must take the necessary, rational steps, grounded in science, to do so safely, so COVID-19 doesn’t come roaring back. https://t.co/ivYeRgrf4q",2020-04-27 14:42:01
2020-04-27 12:55:48,"JoeBiden","I'm incredibly honored by @SpeakerPelosi's endorsement and grateful for her historic leadership in Congress. 

Together, we helped pass Obamacare and together we can not only bring this country back from the brink from this current crisis, but transform it. https://t.co/nJG599w7lU",2020-04-27 12:55:49
2020-04-27 00:00:00,"JoeBiden","America has always met every big challenge with an even bigger solution — this moment should be no different. We need an infrastructure program that will combat climate change and create good-paying jobs at the same time.",2020-04-27 00:00:01
2020-04-26 22:30:00,"JoeBiden","Wealthy firms with ties to Trump got millions, while countless small businesses were turned away. No wonder he wanted no one to watch how the money was deployed.

The American people deserve rigorous oversight — and small businesses deserve relief. Now. https://t.co/UNBLt4g5R9",2020-04-26 22:30:01
2020-04-26 21:10:00,"JoeBiden","The American people are stepping up and rising to meet this moment. It's time for our president to do the same.",2020-04-26 21:10:01
2020-04-26 19:45:00,"JoeBiden","Now more than ever, we need a president who will choose hope over fear, unity over division, truth over lies, and science over fiction. https://t.co/RmUuKLc70X",2020-04-26 19:45:01
2020-04-26 17:42:00,"JoeBiden","Imagine the future we can build with Donald Trump out of the White House. A future where:

- Health care is a right
- We combat climate change
- We end our gun violence epidemic
- Our government works for all — not just the powerful

Let’s build that future, together.",2020-04-26 17:42:01
2020-04-26 15:18:00,"JoeBiden","The workers on the front lines of this crisis are risking their lives every day to combat COVID-19 and keep this country running. The least we can do is provide them the pay and protection they need and deserve. https://t.co/cL67OThz8m",2020-04-26 15:18:01
2020-04-26 02:37:00,"JoeBiden","366 days ago, we launched this campaign.

192 days from now, we’ll beat Donald Trump.

Let’s go win this thing, together. https://t.co/yDbpcKgXwZ",2020-04-26 02:37:01
2020-04-25 23:55:06,"JoeBiden","@carobrissett @pizzahut I bet this made their day. Thank you for stepping up and doing what you can to help those on the front lines of this fight.",2020-04-25 23:55:07
2020-04-25 23:53:37,"JoeBiden","@Emmieinthecity Michelle, this is a great idea. Thank you for doing what you can to ensure folks have the masks they need to stay safe.",2020-04-25 23:53:38
2020-04-25 23:52:37,"JoeBiden","@Im4fit Julie, I can’t thank you enough for all you’re doing to ensure folks have food and supplies during this crisis.",2020-04-25 23:52:38
2020-04-25 23:50:06,"JoeBiden","@a_zinsner8 @TeamJoe This is great, Addie. Tell your mom and sister I say thank you for lending a helping hand to your neighbors.",2020-04-25 23:50:07
2020-04-25 23:49:23,"JoeBiden","@AmandaLinton23 @templehospital Amanda, this is remarkable. Thank you for stepping up and supporting our front line heroes. I know the staff will greatly appreciate your donations.",2020-04-25 23:49:24
2020-04-25 23:00:33,"JoeBiden","Today, folks across the nation have showed their compassion by participating in our first ever #SOULSaturday.  Tune in now as we end the day with a celebration for our campaign’s one year anniversary: https://t.co/69XYQrqkzx",2020-04-25 23:00:34
